name;Q4_2017;Q3_2017;Q2_2017;Q1_2017;Q4_2016;Q3_2016;Q2_2016;Q1_2016;Q4_2015;Q3_2015;Q2_2015;Q1_2015;Q4_2014;Q3_2014;Q2_2014;Q1_2014;Q4_2013;Q3_2013;Q2_2013;Q1_2013;Q4_2012;Q3_2012;Q2_2012;Q1_2012;Q4_2011;Q3_2011;Q2_2011;Q1_2011;Q4_2010;Q3_2010;Q2_2010;Q1_2010;2017;2016;2015;2014;2013;2012;2011;2010
 Değer Artış Fonları;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1528758000;0;1248927000;1248846000;1248145000;1248552000;1069148000;1068581000;1069122000;1069322000;892253000;892073000;892387000;null;0;0;0;0;0;1248552000;1069322000
 Yabancı Para Çevrim Farkları;null;10010000;10010000;10010000;10010000;10010000;10010000;10010000;10010000;12643000;8755000;9754000;9566000;4899000;4160000;3736000;3366000;2363000;2821000;-1016000;1877000;1816000;1338000;244000;1383000;4013000;1199000;-766000;-1894000;-2835000;-3782000;-1264000;null;10010000;10010000;9566000;3366000;1877000;1383000;-1894000
 Kardan Ayrılan Kısıtlanmış Yedekler;null;168095000;168095000;277913000;277913000;337248000;337248000;312763000;312763000;312763000;312763000;308538000;308538000;308538000;308538000;299764000;299764000;299764000;299764000;258084000;258084000;258084000;258084000;248754000;248754000;248754000;248754000;245415000;245415000;245415000;245415000;25571000;null;277913000;312763000;308538000;299764000;258084000;248754000;245415000
 Geçmiş Yıllar Kar/Zararları;null;36481000;30378000;263190000;78387000;156104000;156104000;399872000;239470000;239470000;230973000;279055000;322348000;322348000;322348000;383750000;322336000;322472000;322472000;416950000;384423000;384261000;384261000;448412000;359902000;359778000;359778000;401702000;341322000;341322000;341322000;599541000;null;78387000;239470000;322348000;322336000;384423000;359902000;341322000
 Dönem Net Kar/Zararı;null;165433000;121566000;36007000;184803000;138264000;111689000;35729000;67647000;112321000;50599000;32318000;-43293000;-16681000;-4444000;9674000;61414000;49818000;19030000;271000;34414000;-5321000;-13950000;-9016000;88510000;99909000;53345000;21547000;60380000;40011000;40557000;19752000;null;184803000;67647000;-43293000;61414000;34414000;88510000;60380000
 Diğer Özsermaye Kalemleri;null;2018240000;2018668000;2018755000;2014382000;1558310000;1558450000;1558219000;1558034000;1598645000;1598724000;1598469000;1598474000;1646516000;1646403000;1646145000;1646193000;1632200000;1632079000;0;1632726000;0;0;0;0;0;0;0;0;0;0;0;null;2014382000;1558034000;1598474000;1646193000;1632726000;0;0
 Azınlık Payları;null;72000;-2478000;-7966000;-6265000;12928000;11454000;8638000;3928000;10082000;14911000;16324000;17204000;33438000;41129000;38177000;38896000;43979000;44151000;46800000;45903000;18158000;13570000;16383000;0;15169000;14063000;18962000;18781000;18269000;17522000;18874000;null;-6265000;3928000;17204000;38896000;45903000;0;18781000
TOPLAM KAYNAKLAR;null;3376607000;3988918000;4078392000;3992703000;3488082000;3439484000;3544974000;3369830000;3412852000;3329200000;3314853000;3263485000;3340081000;3354475000;3418754000;3437219000;3419731000;3407732000;3433260000;3360701000;3064982000;3057315000;3056187000;3031767000;2855466000;2774183000;2719855000;2662224000;2465704000;2479171000;2496917000;null;3992703000;3369830000;3263485000;3437219000;3360701000;3031767000;2662224000
Sürdürülen Faaliyetler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Satış Gelirleri;null;139124000;135848000;155132000;1055357000;106274000;117021000;133993000;298255000;282619000;286479000;303210000;262699000;267810000;259330000;256942000;234147000;307260000;331462000;253140000;219938000;220048000;235408000;211940000;242118000;233325000;258285000;239824000;207720000;233207000;257769000;214516000;null;1412645000;1170563000;1046781000;1126009000;887334000;973552000;913212000
Satışların Maliyeti (-);null;-80562000;-83608000;-95192000;-836840000;-69884000;-74899000;-74567000;-236361000;-213930000;-223726000;-233671000;-208794000;-234560000;-210010000;-203156000;-185272000;-255325000;-276632000;-202646000;-182317000;-172943000;-194218000;-174537000;-186754000;-169604000;-184551000;-171224000;-140587000;-171834000;-180969000;-153328000;null;-1056190000;-907688000;-856520000;-919875000;-724015000;-712133000;-646718000
Ticari Faaliyetlerden Diğer Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Ticari Faaliyetlerden Brüt Kar (Zarar);null;58562000;52240000;59940000;218517000;36390000;42122000;59426000;61894000;68689000;62753000;69539000;53905000;33250000;49320000;53786000;48875000;51935000;54830000;50494000;37621000;47105000;41190000;37403000;55364000;63721000;73734000;68600000;67133000;61373000;76800000;61188000;null;356455000;262875000;190261000;206134000;163319000;261419000;266494000
Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Diğer Gelir ve Giderler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
BRÜT KAR (ZARAR);null;58562000;52240000;59940000;218517000;36390000;42122000;59426000;61894000;68689000;62753000;69539000;53905000;33250000;49320000;53786000;48875000;51935000;54830000;50494000;37621000;47105000;41190000;37403000;55364000;63721000;73734000;68600000;67133000;61373000;76800000;61188000;null;356455000;262875000;190261000;206134000;163319000;261419000;266494000
Pazarlama, Satış ve Dağıtım Giderleri (-);null;-26152000;-29793000;-27163000;-134701000;-22518000;-23979000;-23893000;-43482000;-37462000;-38806000;-37817000;-38845000;-31940000;-35379000;-29141000;-36827000;-28270000;-25556000;-30236000;-25423000;-23841000;-22038000;-21241000;-36869000;-24224000;-41721000;-33679000;-36445000;-30105000;-36116000;-29894000;null;-205091000;-157567000;-135305000;-120889000;-92543000;-136493000;-132560000
Genel Yönetim Giderleri (-);null;-11819000;-16618000;-16230000;-65212000;-9648000;-13379000;-10131000;-25821000;-21019000;-25807000;-23208000;-19447000;-18746000;-20850000;-19391000;-22939000;-15507000;-18745000;-16992000;-16907000;-13022000;-17745000;-14570000;-27498000;-22175000;-25678000;-25750000;-24678000;-22506000;-22359000;-21473000;null;-98370000;-95855000;-78434000;-74183000;-62244000;-101101000;-91016000
Araştırma ve Geliştirme Giderleri (-);null;0;0;0;-1850000;0;0;0;-384000;-264000;-352000;-361000;-228000;-244000;-297000;-329000;-250000;-288000;-253000;-262000;0;0;0;0;-85000;-51000;-2000;-1000;-4000;-5000;-4000;-3000;null;-1850000;-1361000;-1098000;-1053000;0;-139000;-16000
Diğer Faaliyet Gelirleri;null;26697000;23764000;84111000;102286000;36663000;40198000;20303000;20599000;79648000;36654000;58146000;33039000;45654000;37059000;48686000;51626000;50405000;49391000;20582000;18121000;25922000;48940000;1875000;-1393000;-2335000;6031000;2181000;2696000;101000;3136000;13411000;null;199450000;195047000;164438000;172004000;94858000;4484000;19344000
Diğer Faaliyet Giderleri (-);null;-15554000;-20291000;-56361000;-50175000;-2212000;-20970000;-22329000;-46305000;-9249000;-9781000;-14025000;-29602000;-20646000;-37509000;-33597000;-13680000;-8076000;-10717000;-14857000;-12548000;-15207000;-55398000;-1557000;780000;-5285000;-10944000;-2019000;-4263000;-1286000;-4826000;-1161000;null;-95686000;-79360000;-121354000;-47330000;-84710000;-17468000;-11536000
Faaliyet Karı Öncesi Diğer Gelir ve Giderler;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
FAALİYET KARI (ZARARI);null;31734000;9302000;44297000;68865000;38675000;23992000;23376000;-33499000;80343000;24661000;52274000;-1178000;7328000;-7656000;20014000;26805000;50199000;48950000;8729000;864000;20957000;-5051000;1910000;-9701000;9651000;1420000;9332000;4439000;7572000;16631000;22068000;null;154908000;123779000;18508000;134683000;18680000;10702000;50710000
Net Faaliyet Kar/Zararı;null;20591000;5829000;16547000;16754000;4224000;4764000;25402000;-7793000;9944000;-2212000;8153000;-4615000;-17680000;-7206000;4925000;-11141000;7870000;10276000;3004000;-4709000;10242000;1407000;1592000;-9088000;17271000;6333000;9170000;6006000;8757000;18321000;9818000;null;51144000;8092000;-24576000;10009000;8532000;23686000;42902000
 Yatırım Faaliyetlerinden Gelirler;null;34996000;99405000;1000;null;12000;59730000;31000;null;null;310000;510000;null;1134000;null;null;null;null;null;null
 Yatırım Faaliyetlerinden Giderler (-);null;-49000;-47000;-32000;null;0;0;-4000;null;null;-3000;-90000;null;-28000;null;null;null;null;null;null
 Diğer Gelir ve Giderler;null;0;0;0;null;0;0;0;null;null;0;0;null;0;null;null;null;null;null;null
Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar;null;-18373000;-31425000;4915000;-13755000;-3277000;-3339000;14766000;-25124000;1099000;2279000;-7282000;-27187000;-19783000;-3307000;-3519000;-13753000;-6403000;-25371000;-5122000;-11500000;-5595000;-14782000;126000;-8626000;-3825000;-2593000;-1931000;-5724000;-712000;4516000;2694000;null;-5605000;-29028000;-53796000;-50649000;-31751000;-16975000;774000
(Esas Faaliyet Dışı) Finansal Gelirler;null;2977000;5002000;2163000;8281000;229000;-1007000;2366000;0;0;0;0;0;0;0;0;0;0;0;0;-1000;1000;-22847000;24238000;37122000;67461000;54084000;32529000;26197000;10376000;31101000;23577000;null;9869000;0;0;0;1391000;191196000;91251000
(Esas Faaliyet Dışı) Finansal Giderler (-);null;-902000;-2758000;-1090000;-21525000;-2228000;-881000;-756000;-4564000;-9740000;-6629000;-4497000;-4665000;-3408000;-2552000;-2647000;-1823000;-2144000;-1471000;-766000;-700000;-1072000;33613000;-35479000;-25671000;-12727000;-13368000;-11953000;530000;-14808000;-26785000;-23482000;null;-25390000;-25430000;-13272000;-6204000;-3638000;-63719000;-64545000
Vergi Öncesi Diğer Gelir ve Giderler;null;34947000;99358000;-31000;3637000;12000;59730000;27000;3414000;191000;307000;420000;-3400000;397000;653000;56000;560000;9000;8121000;510000;49183000;6169000;7928000;0;0;0;0;0;0;0;0;0;null;63406000;4332000;-2294000;9200000;63280000;0;0
SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI);null;50383000;79479000;50254000;45503000;33411000;78495000;39779000;-59773000;71893000;20618000;40915000;-36430000;-15466000;-12862000;13904000;11789000;41661000;30229000;3351000;37846000;20460000;-1139000;-9205000;-6876000;60560000;39543000;27977000;25442000;2428000;25463000;24857000;null;197188000;73653000;-50854000;87030000;47962000;121204000;78190000
Sürdürülen Faaliyetler Vergi Geliri (Gideri);null;-6522000;-4899000;-6613000;-14628000;-8348000;-4907000;-1748000;9836000;-15015000;-3881000;-9614000;-2540000;-4475000;1471000;-4846000;-5364000;-11107000;-10393000;-2132000;-1245000;-6516000;-2525000;1513000;-4032000;-12946000;-7613000;-6232000;-4624000;-2349000;-2593000;-5453000;null;-29631000;-18674000;-10390000;-28996000;-8773000;-30823000;-15019000
 Dönem Vergi Geliri (Gideri);null;-7324000;-2894000;-7672000;-19163000;-6947000;-4872000;-1410000;4152000;-16279000;-5250000;-9475000;-3342000;-4292000;670000;-4845000;-7578000;-10660000;-9220000;-2617000;-2461000;-5018000;-716000;-722000;-2644000;-13040000;-9759000;-7244000;-5024000;-2381000;-3502000;-5309000;null;-32392000;-26852000;-11809000;-30075000;-8917000;-32687000;-16216000
 Ertelenmiş Vergi Geliri (Gideri);null;802000;-2005000;1059000;4535000;-1401000;-35000;-338000;5684000;1264000;1369000;-139000;802000;-183000;801000;-1000;2214000;-447000;-1173000;485000;1216000;-1498000;-1809000;2235000;-1388000;94000;2146000;1012000;400000;32000;909000;-144000;null;2761000;8178000;1419000;1079000;144000;1864000;1197000
 Diğer Vergi Geliri (Gideri);null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI;null;43861000;74580000;43641000;30875000;25063000;73588000;38031000;-49937000;56878000;16737000;31301000;-38970000;-19941000;-11391000;9058000;6425000;30554000;19836000;1219000;36601000;13944000;-3664000;-7692000;-10908000;47614000;31930000;21745000;20818000;79000;22870000;19404000;null;167557000;54979000;-61244000;58034000;39189000;90381000;63171000
DURDURULAN FAALİYETLER;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı);null;0;16561000;-9770000;-3295000;3138000;4926000;-4769000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
DÖNEM KARI (ZARARI);null;43861000;91141000;33871000;27580000;28201000;78514000;33262000;-49937000;56878000;16737000;31301000;-38970000;-19941000;-11391000;9058000;6425000;30554000;19836000;1219000;36601000;13944000;-3664000;-7692000;-10908000;47614000;31930000;21745000;20818000;79000;22870000;19404000;null;167557000;54979000;-61244000;58034000;39189000;90381000;63171000
Dönem Kar/Zararının Dağılımı;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Azınlık Payları;null;-6000;5582000;-2136000;-18959000;1626000;2554000;-2467000;-5263000;-4844000;-1544000;-1017000;-12358000;-7704000;2727000;-616000;-5171000;-234000;1077000;948000;-3134000;5315000;1270000;1324000;491000;1050000;132000;198000;449000;625000;2065000;-348000;null;-17246000;-12668000;-17951000;-3380000;4775000;1871000;2791000
Ana Ortaklık Payları;null;43867000;85559000;36007000;46539000;26575000;75960000;35729000;-44674000;61722000;18281000;32318000;-26612000;-12237000;-14118000;9674000;11596000;30788000;18759000;271000;39735000;8629000;-4934000;-9016000;-11399000;46564000;31798000;21547000;20369000;-546000;20805000;19752000;null;184803000;67647000;-43293000;61414000;34414000;88510000;60380000
Hisse Başına Kazanç;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Seyreltilmiş Hisse Başına Kazanç;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Sürdürülen Faaliyetlerden Hisse Başına Kazanç;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç;null;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;null;0;0;0;0;0;0;0
Amortisman Giderleri;null;2726000;390000;4957000;5632000;4960000;5690000;4979000;4581000;4314000;4519000;4398000;5616000;4351000;4752000;4688000;4591000;3246000;3125000;3236000;2802000;2681000;2669000;2588000;4944000;5242000;5568000;4905000;4771000;4914000;4963000;4693000;null;21261000;17812000;19407000;14198000;10740000;20659000;19341000
Kıdem Tazminatı;null;18000;-435000;1140000;-370000;890000;473000;442000;347000;433000;357000;1090000;260000;-108000;222000;441000;183000;-357000;136000;888000;3660000;261000;300000;295000;645000;-370000;695000;1369000;1366000;2103000;-196000;461000;null;1435000;2227000;815000;850000;4516000;2339000;3734000
Finansman Giderleri;null;-902000;-2758000;-1090000;-21525000;-2228000;-881000;-756000;-4564000;-9740000;-6629000;-4497000;-4665000;-3408000;-2552000;-2647000;-1823000;-2144000;-1471000;-766000;-700000;-1072000;33613000;-35479000;-25671000;-12727000;-13368000;-11953000;530000;-14808000;-26785000;-23482000;null;-25390000;-25430000;-13272000;-6204000;-3638000;-63719000;-64545000
Yurtiçi Satışlar;null;164356000;-231610000;586105000;1846907000;127302000;-198489000;503695000;467940000;477140000;482397000;453431000;457670000;447427000;432730000;343608000;393956000;485613000;485373000;379169000;646932000;349890000;375405000;313607000;365882000;359981000;392176000;359048000;415989000;325282000;344354000;305626000;null;2279415000;1880908000;1681435000;1744111000;1685834000;1477087000;1391251000
Yurtdışı Satışlar;null;44000;-2673000;2979000;13087000;105000;-1822000;1893000;4864000;4110000;3157000;2531000;4338000;3634000;4266000;3225000;4323000;4048000;4285000;3613000;9839000;523000;657000;403000;3548000;4699000;9320000;1610000;1655000;1789000;2192000;1166000;null;13263000;14662000;15463000;16269000;11422000;19177000;6802000
Net Yabancı Para Pozisyonu;null;-20365000;-163943000;551570000;70101000;-13963000;-217777000;575272000;-34248000;47646000;-94893000;546730000;-50350000;35334000;-119677000;642707000;13822000;29656000;-20204000;452761000;50284000;11076000;-36231000;451094000;3016000;13030000;-56897000;510535000;-491000;40952000;-60570000;423846000;null;413633000;465235000;508014000;476035000;476223000;469684000;403737000
Parasal net yabancı para varlık/(yükümlülük) pozisyonu;null;-20365000;-163943000;551570000;70101000;-10281000;-223668000;577481000;-34376000;47646000;-94893000;546730000;-50350000;558364000;null;null;476035000;null;null;null;null;413633000;465107000;508014000;476035000
Net YPP (Hedge Dahil);null;-20365000;-163943000;551570000;70101000;-14020000;-219929000;577481000;-34249000;47646000;-94893000;546730000;-50350000;558364000;null;null;476035000;null;null;null;null;413633000;465234000;508014000;476035000
